ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,PrevCC,CC,PrevCCL,CCL,PrevCCO,CCO,PrevCI,CI,PrevCLC,CLC,PrevCLLC,CLLC,PrevLDC,LDC,PrevLLDC,LLDC,PrevLCOM5,LCOM5,PrevNL,NL,PrevNLE,NLE,PrevWMC,WMC,PrevCBO,CBO,PrevCBOI,CBOI,PrevNII,NII,PrevNOI,NOI,PrevRFC,RFC,PrevAD,AD,PrevCD,CD,PrevCLOC,CLOC,PrevDLOC,DLOC,PrevPDA,PDA,PrevPUA,PUA,PrevTCD,TCD,PrevTCLOC,TCLOC,PrevDIT,DIT,PrevNOA,NOA,PrevNOC,NOC,PrevNOD,NOD,PrevNOP,NOP,PrevLLOC,LLOC,PrevLOC,LOC,PrevNA,NA,PrevNG,NG,PrevNLA,NLA,PrevNLG,NLG,PrevNLM,NLM,PrevNLPA,NLPA,PrevNLPM,NLPM,PrevNLS,NLS,PrevNM,NM,PrevNOS,NOS,PrevNPA,NPA,PrevNPM,NPM,PrevNS,NS,PrevTLLOC,TLLOC,PrevTLOC,TLOC,PrevTNA,TNA,PrevTNG,TNG,PrevTNLA,TNLA,PrevTNLG,TNLG,PrevTNLM,TNLM,PrevTNLPA,TNLPA,PrevTNLPM,TNLPM,PrevTNLS,TNLS,PrevTNM,TNM,PrevTNOS,TNOS,PrevTNPA,TNPA,PrevTNPM,TNPM,PrevTNS,TNS,PrevWarningBlocker,WarningBlocker,PrevWarningCritical,WarningCritical,PrevWarningInfo,WarningInfo,PrevWarningMajor,WarningMajor,PrevWarningMinor,WarningMinor,PrevAndroid Rules,Android Rules,PrevBasic Rules,Basic Rules,PrevBrace Rules,Brace Rules,PrevClone Implementation Rules,Clone Implementation Rules,PrevClone Metric Rules,Clone Metric Rules,PrevCode Size Rules,Code Size Rules,PrevCohesion Metric Rules,Cohesion Metric Rules,PrevComment Rules,Comment Rules,PrevComplexity Metric Rules,Complexity Metric Rules,PrevControversial Rules,Controversial Rules,PrevCoupling Metric Rules,Coupling Metric Rules,PrevCoupling Rules,Coupling Rules,PrevDesign Rules,Design Rules,PrevDocumentation Metric Rules,Documentation Metric Rules,PrevEmpty Code Rules,Empty Code Rules,PrevFinalizer Rules,Finalizer Rules,PrevImport Statement Rules,Import Statement Rules,PrevInheritance Metric Rules,Inheritance Metric Rules,PrevJ2EE Rules,J2EE Rules,PrevJUnit Rules,JUnit Rules,PrevJakarta Commons Logging Rules,Jakarta Commons Logging Rules,PrevJava Logging Rules,Java Logging Rules,PrevJavaBean Rules,JavaBean Rules,PrevMigratingToJUnit4 Rules,MigratingToJUnit4 Rules,PrevMigration Rules,Migration Rules,PrevMigration13 Rules,Migration13 Rules,PrevMigration14 Rules,Migration14 Rules,PrevMigration15 Rules,Migration15 Rules,PrevNaming Rules,Naming Rules,PrevOptimization Rules,Optimization Rules,PrevSecurity Code Guideline Rules,Security Code Guideline Rules,PrevSize Metric Rules,Size Metric Rules,PrevStrict Exception Rules,Strict Exception Rules,PrevString and StringBuffer Rules,String and StringBuffer Rules,PrevType Resolution Rules,Type Resolution Rules,PrevUnnecessary and Unused Code Rules,Unnecessary and Unused Code Rules,PrevVulnerability Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,Refact_Sum,PrevRMI,RMI,RMIDiff
L240,Tool,org.antlr.v4.Tool,L466,L103,tool\src\org\antlr\v4\Tool.java,89,1,844,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,6,140,138,32,32,43,43,35,36,47,47,83,83,"0,212121","0,212121","0,166407","0,166667",107,107,55,54,7,7,26,26,"0,161527","0,161765",110,110,0,0,0,0,1,1,1,1,0,0,536,535,716,713,32,32,5,5,32,32,5,5,36,36,27,27,32,32,0,0,36,36,323,322,27,27,32,32,0,0,571,570,756,753,39,39,5,5,39,39,5,5,40,40,30,30,36,36,0,0,40,40,336,335,30,30,36,36,0,0,0,0,2,2,108,108,3,3,172,173,0,0,0,0,37,37,0,0,0,0,0,0,1,1,0,0,8,8,7,7,3,3,0,0,92,93,79,79,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,1,1,17,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00469054711383","-0,004668947",2.16E+06
L118,Antlr4ErrorLog,org.antlr.mojo.antlr4.Antlr4ErrorLog,L107,L103,antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java,42,1,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,3,3,1,1,1,1,1,1,5,5,1,1,"0,64","0,64",32,32,32,32,5,5,0,0,"0,64","0,64",32,32,1,1,1,1,0,0,0,0,1,1,18,18,49,49,1,1,0,0,1,1,0,0,4,4,0,0,4,4,0,0,4,4,4,4,0,0,4,4,0,0,18,18,49,49,1,1,0,0,1,1,0,0,4,4,0,0,4,4,0,0,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000752310515588","0,000746348",-5.96E+05
L162,Antlr4Mojo,org.antlr.mojo.antlr4.Antlr4Mojo,L107,L103,antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,74,1,493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,45,45,5,5,1,1,0,0,5,5,15,15,"0,333333","0,333333","0,365931","0,365931",116,116,95,95,2,2,4,4,"0,341808","0,341808",121,121,0,0,0,0,0,0,0,0,0,0,201,201,378,378,15,15,6,6,15,15,6,6,10,10,0,0,5,5,0,0,10,10,106,106,0,0,5,5,0,0,233,233,420,420,47,47,12,12,15,15,7,7,13,13,0,0,8,8,0,0,49,49,123,123,27,27,40,40,0,0,0,0,0,0,35,35,3,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,9,9,24,24,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000719812654302","-0,000710007",9.81E+04
L605,ANTLRFileStream,org.antlr.v4.runtime.ANTLRFileStream,L473,L103,runtime\Java\src\org\antlr\v4\runtime\ANTLRFileStream.java,42,1,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,7,6,1,1,1,8,2,8,1,1,5,5,"0,2","0,2","0,0888889","0,116279",4,5,4,5,1,1,4,4,"0,0888889","0,116279",4,5,3,3,3,3,1,0,1,0,1,1,41,38,45,42,9,11,3,3,1,1,1,1,4,4,0,0,4,4,0,0,26,26,19,17,5,7,26,26,0,0,41,38,45,42,9,11,3,3,1,1,1,1,4,4,0,0,4,4,0,0,26,26,19,17,5,7,26,26,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000283502541263","0,000287698",4.20E+05
L607,ANTLRInputStream,org.antlr.v4.runtime.ANTLRInputStream,L473,L103,runtime\Java\src\org\antlr\v4\runtime\ANTLRInputStream.java,47,1,245,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,38,38,3,3,9,11,16,18,0,0,22,22,"0,304348","0,304348","0,26087","0,252747",48,46,25,23,7,7,16,16,"0,26087","0,252747",48,46,2,2,2,2,1,1,2,1,1,1,136,136,199,199,8,10,2,2,6,6,2,2,22,22,3,3,22,22,0,0,22,22,61,61,5,7,22,22,0,0,136,136,199,199,8,10,2,2,6,6,2,2,22,22,3,3,22,22,0,0,22,22,61,61,5,7,22,22,0,0,0,0,0,0,41,41,1,1,17,17,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,9,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00065544485761","-0,000618754",3.67E+06
L3011,BailErrorStrategy,org.antlr.v4.runtime.BailErrorStrategy,L473,L103,runtime\Java\src\org\antlr\v4\runtime\BailErrorStrategy.java,39,1,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,5,5,7,7,2,3,0,0,4,4,7,7,1,1,"0,382353","0,382353",13,13,13,13,4,4,0,0,"0,382353","0,382353",13,13,2,2,2,2,0,0,0,0,1,1,21,21,34,34,3,4,6,6,0,0,0,0,3,3,0,0,3,3,0,0,27,26,11,11,0,0,10,21,0,1,21,21,34,34,3,4,6,6,0,0,0,0,3,3,0,0,3,3,0,0,27,26,11,11,0,0,10,21,0,1,0,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000121775411947","0,000125036",3.26E+05
L3045,BaseErrorListener,org.antlr.v4.runtime.BaseErrorListener,L473,L103,runtime\Java\src\org\antlr\v4\runtime\BaseErrorListener.java,40,1,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,6,6,3,3,0,0,0,0,4,4,"0,2","0,2","0,0714286","0,0769231",3,3,3,3,1,1,4,4,"0,0714286","0,0769231",3,3,1,1,1,1,3,3,4,4,1,1,39,36,42,39,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0,39,36,42,39,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,16,14,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"0,000404556208896","0,000394782",-9.77E+05
L3079,BufferedTokenStream,org.antlr.v4.runtime.BufferedTokenStream,L473,L103,runtime\Java\src\org\antlr\v4\runtime\BufferedTokenStream.java,54,1,450,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,91,91,9,9,9,13,55,59,9,9,46,46,"0,344828","0,37931","0,266667","0,264624",96,95,87,86,10,11,19,18,"0,266667","0,264624",96,95,2,2,2,2,1,1,2,2,1,1,264,264,397,396,6,6,14,14,4,4,14,14,37,37,0,0,28,28,1,1,37,37,170,170,2,2,28,28,1,1,264,264,397,396,6,6,14,14,4,4,14,14,37,37,0,0,28,28,1,1,37,37,170,170,2,2,28,28,1,1,0,0,1,1,66,66,2,2,54,54,0,0,0,0,33,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17,17,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,8,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00226902076457","-0,002240566",2.85E+06
L3253,CommonToken,org.antlr.v4.runtime.CommonToken,L473,L103,runtime\Java\src\org\antlr\v4\runtime\CommonToken.java,38,1,227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,31,31,8,8,18,19,10,10,16,16,39,39,"0,0416667","0,0416667","0,0869565","0,0886076",14,14,13,13,1,1,23,23,"0,0869565","0,0886076",14,14,2,2,2,2,11,11,11,11,1,1,147,144,190,186,16,15,10,10,10,9,10,10,23,23,0,0,23,23,8,8,23,23,60,59,6,6,23,23,8,8,147,144,190,186,16,15,10,10,10,9,10,10,23,23,0,0,23,23,8,8,23,23,60,59,6,6,23,23,8,8,0,0,0,0,59,58,1,1,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,47,47,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000594764180556","-0,000604779",-1.00E+06
L3350,CommonTokenFactory,org.antlr.v4.runtime.CommonTokenFactory,L473,L103,runtime\Java\src\org\antlr\v4\runtime\CommonTokenFactory.java,36,1,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,7,7,6,6,1,5,1,5,7,7,11,11,"0,2","0,2","0,212121","0,212121",7,7,7,7,1,1,4,4,"0,212121","0,212121",7,7,1,1,1,1,0,0,0,0,1,1,26,26,39,39,2,2,0,0,2,2,0,0,4,4,1,1,4,4,0,0,4,4,11,11,1,1,4,4,0,0,26,26,39,39,2,2,0,0,2,2,0,0,4,4,1,1,4,4,0,0,4,4,11,11,1,1,4,4,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000508343850662","0,000504963",-3.38E+05
