ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,PrevCC,CC,PrevCCL,CCL,PrevCCO,CCO,PrevCI,CI,PrevCLC,CLC,PrevCLLC,CLLC,PrevLDC,LDC,PrevLLDC,LLDC,PrevLCOM5,LCOM5,PrevNL,NL,PrevNLE,NLE,PrevWMC,WMC,PrevCBO,CBO,PrevCBOI,CBOI,PrevNII,NII,PrevNOI,NOI,PrevRFC,RFC,PrevAD,AD,PrevCD,CD,PrevCLOC,CLOC,PrevDLOC,DLOC,PrevPDA,PDA,PrevPUA,PUA,PrevTCD,TCD,PrevTCLOC,TCLOC,PrevDIT,DIT,PrevNOA,NOA,PrevNOC,NOC,PrevNOD,NOD,PrevNOP,NOP,PrevLLOC,LLOC,PrevLOC,LOC,PrevNA,NA,PrevNG,NG,PrevNLA,NLA,PrevNLG,NLG,PrevNLM,NLM,PrevNLPA,NLPA,PrevNLPM,NLPM,PrevNLS,NLS,PrevNM,NM,PrevNOS,NOS,PrevNPA,NPA,PrevNPM,NPM,PrevNS,NS,PrevTLLOC,TLLOC,PrevTLOC,TLOC,PrevTNA,TNA,PrevTNG,TNG,PrevTNLA,TNLA,PrevTNLG,TNLG,PrevTNLM,TNLM,PrevTNLPA,TNLPA,PrevTNLPM,TNLPM,PrevTNLS,TNLS,PrevTNM,TNM,PrevTNOS,TNOS,PrevTNPA,TNPA,PrevTNPM,TNPM,PrevTNS,TNS,PrevWarningBlocker,WarningBlocker,PrevWarningCritical,WarningCritical,PrevWarningInfo,WarningInfo,PrevWarningMajor,WarningMajor,PrevWarningMinor,WarningMinor,PrevAndroid Rules,Android Rules,PrevBasic Rules,Basic Rules,PrevBrace Rules,Brace Rules,PrevClone Implementation Rules,Clone Implementation Rules,PrevClone Metric Rules,Clone Metric Rules,PrevCode Size Rules,Code Size Rules,PrevCohesion Metric Rules,Cohesion Metric Rules,PrevComment Rules,Comment Rules,PrevComplexity Metric Rules,Complexity Metric Rules,PrevControversial Rules,Controversial Rules,PrevCoupling Metric Rules,Coupling Metric Rules,PrevCoupling Rules,Coupling Rules,PrevDesign Rules,Design Rules,PrevDocumentation Metric Rules,Documentation Metric Rules,PrevEmpty Code Rules,Empty Code Rules,PrevFinalizer Rules,Finalizer Rules,PrevImport Statement Rules,Import Statement Rules,PrevInheritance Metric Rules,Inheritance Metric Rules,PrevJ2EE Rules,J2EE Rules,PrevJUnit Rules,JUnit Rules,PrevJakarta Commons Logging Rules,Jakarta Commons Logging Rules,PrevJava Logging Rules,Java Logging Rules,PrevJavaBean Rules,JavaBean Rules,PrevMigratingToJUnit4 Rules,MigratingToJUnit4 Rules,PrevMigration Rules,Migration Rules,PrevMigration13 Rules,Migration13 Rules,PrevMigration14 Rules,Migration14 Rules,PrevMigration15 Rules,Migration15 Rules,PrevNaming Rules,Naming Rules,PrevOptimization Rules,Optimization Rules,PrevSecurity Code Guideline Rules,Security Code Guideline Rules,PrevSize Metric Rules,Size Metric Rules,PrevStrict Exception Rules,Strict Exception Rules,PrevString and StringBuffer Rules,String and StringBuffer Rules,PrevType Resolution Rules,Type Resolution Rules,PrevUnnecessary and Unused Code Rules,Unnecessary and Unused Code Rules,PrevVulnerability Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,Refact_Sum,PrevRMI,RMI,RMIDiff
L5710,ClassUtils,com.cloudera.oryx.common.ClassUtils,L4353,L103,common\src\main\java\com\cloudera\oryx\common\ClassUtils.java,27,1,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,16,16,0,0,10,10,11,11,0,0,9,9,1,1,"0,330189","0,330189",35,35,35,35,7,7,0,0,"0,330189","0,330189",35,35,0,0,0,0,0,0,0,0,0,0,71,71,112,112,2,2,0,0,2,2,0,0,9,9,0,0,6,6,0,0,9,9,25,25,0,0,6,6,0,0,71,71,112,112,2,2,0,0,2,2,0,0,9,9,0,0,6,6,0,0,9,9,25,25,0,0,6,6,0,0,0,0,0,0,7,7,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-7,32607660826e-05","-6,42e-05","9,06076608261e-06"
L6783,LangUtils,com.cloudera.oryx.common.LangUtils,L4353,L103,common\src\main\java\com\cloudera\oryx\common\LangUtils.java,27,1,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,12,11,17,16,0,0,4,4,1,1,"0,55","0,55",22,22,22,22,4,4,0,0,"0,55","0,55",22,22,0,0,0,0,0,0,0,0,0,0,18,18,40,40,0,0,0,0,0,0,0,0,4,4,0,0,3,3,0,0,4,4,8,8,0,0,3,3,0,0,18,18,40,40,0,0,0,0,0,0,0,0,4,4,0,0,3,3,0,0,4,4,8,8,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000239360320772","0,000244394","5,03367922835e-06"
L3789,ReloadingReference<V extends Object>,com.cloudera.oryx.common.ReloadingReference,L4353,L103,common\src\main\java\com\cloudera\oryx\common\ReloadingReference.java,36,1,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,18,18,0,0,3,3,7,7,0,0,7,7,1,1,"0,368","0,368",46,46,39,39,7,7,0,0,"0,368","0,368",46,46,0,0,0,0,0,0,0,0,0,0,79,79,128,128,8,8,0,0,8,8,0,0,7,7,0,0,6,6,0,0,7,7,39,39,0,0,6,6,0,0,79,79,128,128,8,8,0,0,8,8,0,0,7,7,0,0,6,6,0,0,7,7,39,39,0,0,6,6,0,0,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,14575162136e-06","9,5e-06","4,35424837864e-06"
L7345,ClassUtilsTest,com.cloudera.oryx.common.ClassUtilsTest,L4353,L103,common\src\test\java\com\cloudera\oryx\common\ClassUtilsTest.java,28,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,0,0,3,3,5,5,"0,333333","0,333333","0,25","0,25",5,5,5,5,1,1,2,2,"0,25","0,25",5,5,1,1,1,1,0,0,0,0,1,1,15,15,18,18,3,3,2,2,0,0,0,0,2,2,0,0,2,2,0,0,18,18,4,4,0,0,8,8,2,2,15,15,18,18,3,3,2,2,0,0,0,0,2,2,0,0,2,2,0,0,18,18,4,4,0,0,8,8,2,2,0,0,0,0,6,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000124676016788","0,000124291","-3,8501678845e-07"
L7353,LangUtilsTest,com.cloudera.oryx.common.LangUtilsTest,L4353,L103,common\src\test\java\com\cloudera\oryx\common\LangUtilsTest.java,25,1,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,2,2,0,0,0,0,4,4,10,10,"0,142857","0,142857","0,16129","0,16129",5,5,5,5,1,1,6,6,"0,16129","0,16129",5,5,1,1,1,1,0,0,0,0,1,1,26,26,32,32,3,3,2,2,0,0,0,0,6,6,0,0,6,6,0,0,22,22,6,6,0,0,12,12,2,2,26,26,32,32,3,3,2,2,0,0,0,0,6,6,0,0,6,6,0,0,22,22,6,6,0,0,12,12,2,2,0,0,0,0,16,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00024177032582","-0,000238689","3,0813258204e-06"
L156,OryxTest,com.cloudera.oryx.common.OryxTest,L4353,L103,common\src\test\java\com\cloudera\oryx\common\OryxTest.java,39,1,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,2,2,2,22,22,4,4,77,73,179,176,6,6,22,22,"0,428571","0,428571","0,336283","0,336283",38,38,36,36,3,3,4,4,"0,336283","0,336283",38,38,0,0,0,0,64,63,77,73,0,0,75,75,128,128,3,3,2,2,3,3,2,2,16,16,0,0,6,6,2,2,16,16,31,31,0,0,6,6,2,2,75,75,128,128,3,3,2,2,3,3,2,2,16,16,0,0,6,6,2,2,16,16,31,31,0,0,6,6,2,2,0,0,0,0,22,22,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,19,19,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000650803043559","-0,000643798","7,0050435588e-06"
L7407,ReloadingReferenceTest,com.cloudera.oryx.common.ReloadingReferenceTest,L4353,L103,common\src\test\java\com\cloudera\oryx\common\ReloadingReferenceTest.java,29,1,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,0,0,5,5,7,7,"0,333333","0,333333","0,172414","0,172414",5,5,5,5,1,1,2,2,"0,128205","0,128205",5,5,1,1,1,1,0,0,0,0,1,1,24,24,27,27,3,3,2,2,0,0,0,0,2,2,0,0,2,2,0,0,18,18,14,14,0,0,8,8,2,2,34,34,37,37,5,5,2,2,2,2,0,0,4,4,0,0,4,4,0,0,20,20,16,16,0,0,10,10,2,2,0,0,0,0,18,18,2,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,11751843166e-05","9,34e-05","2,22481568344e-06"
L9428,PeriodicRunner,com.cloudera.oryx.computation.PeriodicRunner,L7431,L103,computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunner.java,63,1,284,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,34,34,17,17,3,5,4,6,15,16,25,26,"0,142857","0,142857","0,0691489","0,0706522",13,13,7,7,1,1,6,6,"0,0677083","0,0691489",13,13,0,0,0,0,0,0,0,0,0,0,175,171,218,214,12,12,1,1,12,12,1,1,10,10,0,0,6,6,0,0,10,10,91,89,0,0,6,6,0,0,179,175,222,218,12,12,1,1,12,12,1,1,11,11,0,0,7,7,0,0,11,11,92,90,0,0,7,7,0,0,0,0,0,0,32,32,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,12,12,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000904893044823","-0,000914106","-9,21295517734e-06"
L9475,PeriodicRunnerState,com.cloudera.oryx.computation.PeriodicRunnerState,L7431,L103,computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunnerState.java,29,1,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,8,1,1,2,4,1,3,0,0,7,7,"0,333333","0,333333","0,190476","0,190476",8,8,8,8,2,2,4,4,"0,190476","0,190476",8,8,0,0,0,0,0,0,0,0,0,0,34,34,46,46,4,4,3,3,4,4,3,3,7,7,0,0,5,5,0,0,7,7,10,10,0,0,5,5,0,0,34,34,46,46,4,4,3,3,4,4,3,3,7,7,0,0,5,5,0,0,7,7,10,10,0,0,5,5,0,0,0,0,0,0,15,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000201272606396","0,00020416","2,88739360365e-06"
L9555,Runner,com.cloudera.oryx.computation.Runner,L7431,L103,computation\src\main\java\com\cloudera\oryx\computation\Runner.java,78,1,334,2,"0,30303","0,239645",6,5,16,13,6,5,"0,303502","0,243636","0,37931","0,293023",78,67,77,63,1,1,3,3,3,3,33,37,10,16,1,1,1,1,15,19,29,34,"0,4","0,4","0,0954545","0,0905172",21,21,17,17,2,2,3,3,"0,09375","0,0889831",21,21,0,0,0,0,0,0,0,0,0,0,199,211,253,271,6,6,0,1,6,6,0,1,14,15,0,0,4,4,0,0,14,15,128,138,0,0,4,4,0,0,203,215,257,275,6,6,0,1,6,6,0,1,15,16,0,0,5,5,0,0,15,16,129,139,0,0,5,5,0,0,0,0,0,0,89,84,1,1,5,4,0,0,0,0,0,0,0,0,52,46,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00106814533309","-0,000836417","0,000231728333088"
