ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,PrevCC,CC,PrevCCL,CCL,PrevCCO,CCO,PrevCI,CI,PrevCLC,CLC,PrevCLLC,CLLC,PrevLDC,LDC,PrevLLDC,LLDC,PrevLCOM5,LCOM5,PrevNL,NL,PrevNLE,NLE,PrevWMC,WMC,PrevCBO,CBO,PrevCBOI,CBOI,PrevNII,NII,PrevNOI,NOI,PrevRFC,RFC,PrevAD,AD,PrevCD,CD,PrevCLOC,CLOC,PrevDLOC,DLOC,PrevPDA,PDA,PrevPUA,PUA,PrevTCD,TCD,PrevTCLOC,TCLOC,PrevDIT,DIT,PrevNOA,NOA,PrevNOC,NOC,PrevNOD,NOD,PrevNOP,NOP,PrevLLOC,LLOC,PrevLOC,LOC,PrevNA,NA,PrevNG,NG,PrevNLA,NLA,PrevNLG,NLG,PrevNLM,NLM,PrevNLPA,NLPA,PrevNLPM,NLPM,PrevNLS,NLS,PrevNM,NM,PrevNOS,NOS,PrevNPA,NPA,PrevNPM,NPM,PrevNS,NS,PrevTLLOC,TLLOC,PrevTLOC,TLOC,PrevTNA,TNA,PrevTNG,TNG,PrevTNLA,TNLA,PrevTNLG,TNLG,PrevTNLM,TNLM,PrevTNLPA,TNLPA,PrevTNLPM,TNLPM,PrevTNLS,TNLS,PrevTNM,TNM,PrevTNOS,TNOS,PrevTNPA,TNPA,PrevTNPM,TNPM,PrevTNS,TNS,PrevWarningBlocker,WarningBlocker,PrevWarningCritical,WarningCritical,PrevWarningInfo,WarningInfo,PrevWarningMajor,WarningMajor,PrevWarningMinor,WarningMinor,PrevAndroid Rules,Android Rules,PrevBasic Rules,Basic Rules,PrevBrace Rules,Brace Rules,PrevClone Implementation Rules,Clone Implementation Rules,PrevClone Metric Rules,Clone Metric Rules,PrevCode Size Rules,Code Size Rules,PrevCohesion Metric Rules,Cohesion Metric Rules,PrevComment Rules,Comment Rules,PrevComplexity Metric Rules,Complexity Metric Rules,PrevControversial Rules,Controversial Rules,PrevCoupling Metric Rules,Coupling Metric Rules,PrevCoupling Rules,Coupling Rules,PrevDesign Rules,Design Rules,PrevDocumentation Metric Rules,Documentation Metric Rules,PrevEmpty Code Rules,Empty Code Rules,PrevFinalizer Rules,Finalizer Rules,PrevImport Statement Rules,Import Statement Rules,PrevInheritance Metric Rules,Inheritance Metric Rules,PrevJ2EE Rules,J2EE Rules,PrevJUnit Rules,JUnit Rules,PrevJakarta Commons Logging Rules,Jakarta Commons Logging Rules,PrevJava Logging Rules,Java Logging Rules,PrevJavaBean Rules,JavaBean Rules,PrevMigratingToJUnit4 Rules,MigratingToJUnit4 Rules,PrevMigration Rules,Migration Rules,PrevMigration13 Rules,Migration13 Rules,PrevMigration14 Rules,Migration14 Rules,PrevMigration15 Rules,Migration15 Rules,PrevNaming Rules,Naming Rules,PrevOptimization Rules,Optimization Rules,PrevSecurity Code Guideline Rules,Security Code Guideline Rules,PrevSize Metric Rules,Size Metric Rules,PrevStrict Exception Rules,Strict Exception Rules,PrevString and StringBuffer Rules,String and StringBuffer Rules,PrevType Resolution Rules,Type Resolution Rules,PrevUnnecessary and Unused Code Rules,Unnecessary and Unused Code Rules,PrevVulnerability Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,Refact_Sum,PrevRMI,RMI,RMIDiff
L12154,BerkeleyStorageSetup,com.thinkaurelius.titan.BerkeleyStorageSetup,L106,L103,titan-berkeleyje\src\test\java\com\thinkaurelius\titan\BerkeleyStorageSetup.java,8,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,7,7,9,9,4,4,8,8,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,1,1,1,0,0,0,0,1,1,18,18,22,22,0,0,11,11,0,0,4,4,4,4,0,0,4,4,0,0,14,14,4,4,0,0,14,14,0,0,18,18,22,22,0,0,11,11,0,0,4,4,4,4,0,0,4,4,0,0,14,14,4,4,0,0,14,14,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,67514548844e-05","5,61e-05","-6,51454884374e-07"
L26365,CassandraStorageSetup,com.thinkaurelius.titan.CassandraStorageSetup,L106,L103,titan-cassandra\src\test\java\com\thinkaurelius\titan\CassandraStorageSetup.java,25,1,183,2,"0,102713","0,102713",1,1,2,2,1,1,"0,0628931","0,0628931","0,0769231","0,0769231",10,10,9,9,5,5,2,2,2,2,26,26,3,3,0,0,0,0,0,0,19,19,"0,133333","0,133333","0,0991736","0,0991736",12,12,12,12,2,2,13,13,"0,0930233","0,0930233",12,12,0,0,0,0,0,0,0,0,0,0,109,109,150,150,4,4,14,14,4,4,14,14,19,19,2,2,14,14,0,0,19,19,55,55,2,2,14,14,0,0,117,117,159,159,6,6,14,14,6,6,14,14,20,20,2,2,15,15,0,0,20,20,57,57,2,2,15,15,0,0,0,0,0,0,56,56,18,18,2,2,0,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,1,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000140577848221","-0,000138247","2,33084822052e-06"
L35265,HBaseStatus,com.thinkaurelius.titan.HBaseStatus,L106,L103,titan-hbase-parent\titan-hbase-core\src\test\java\com\thinkaurelius\titan\HBaseStatus.java,15,1,105,2,"0,197674","0,197674",1,1,2,2,1,1,"0,164835","0,164835","0,180556","0,180556",15,15,13,13,3,3,1,1,1,1,14,14,1,1,1,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,85,85,3,3,4,4,3,3,4,4,8,8,0,0,6,6,0,0,8,8,35,35,0,0,6,6,0,0,72,72,91,91,4,4,4,4,4,4,4,4,9,9,0,0,7,7,0,0,9,9,36,36,0,0,7,7,0,0,0,0,0,0,36,36,12,12,2,2,0,0,0,0,0,0,0,0,11,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,8385954754e-05","-1,73e-05","1,08595475401e-06"
L35292,HBaseStorageSetup,com.thinkaurelius.titan.HBaseStorageSetup,L106,L103,titan-hbase-parent\titan-hbase-core\src\test\java\com\thinkaurelius\titan\HBaseStorageSetup.java,23,1,272,2,"0,296825","0,296825",2,2,9,9,2,2,"0,2","0,2","0,298013","0,298013",50,50,45,45,6,6,2,2,2,2,21,21,3,3,0,0,0,0,0,0,11,11,"0,25","0,25","0,281609","0,281609",49,49,42,42,2,2,6,6,"0,259804","0,259804",53,53,0,0,0,0,0,0,0,0,0,0,125,125,220,220,7,7,5,5,7,7,5,5,11,11,1,1,7,7,0,0,11,11,69,69,1,1,7,7,0,0,151,151,250,250,9,9,5,5,9,9,5,5,14,14,1,1,9,9,0,0,14,14,79,79,1,1,9,9,0,0,0,0,0,0,54,54,31,31,9,9,0,0,0,0,0,0,0,0,24,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,6,6,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,00014491039614","-0,000142169","2,74139614029e-06"
L10529,DaemonRunner<S extends Object>,com.thinkaurelius.titan.DaemonRunner,L106,L103,titan-test\src\main\java\com\thinkaurelius\titan\DaemonRunner.java,12,1,187,2,"0,462871","0,462871",2,2,9,9,2,2,"0,284091","0,284091","0,39823","0,39823",50,50,45,45,5,5,2,2,2,2,20,20,0,0,1,1,0,0,0,0,9,9,"0,666667","0,666667","0,268908","0,268908",32,32,28,28,2,2,1,1,"0,241611","0,241611",36,36,0,0,0,0,1,1,1,1,0,0,87,87,146,146,2,2,1,1,2,2,1,1,9,9,0,0,2,2,0,0,9,9,49,49,0,0,2,2,0,0,113,113,176,176,4,4,1,1,4,4,1,1,12,12,0,0,4,4,0,0,12,12,59,59,0,0,4,4,0,0,0,0,0,0,51,51,18,18,4,4,0,0,0,0,0,0,0,0,24,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-9,76440949423e-05","-9,51e-05","2,54409494228e-06"
L12155,StorageSetup,com.thinkaurelius.titan.StorageSetup,L106,L103,titan-test\src\main\java\com\thinkaurelius\titan\StorageSetup.java,17,1,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,16,16,9,9,2,2,4,4,7,7,17,17,"0,0909091","0,0909091","0,0425532","0,0425532",2,2,1,1,1,1,10,10,"0,0425532","0,0425532",2,2,0,0,0,0,1,1,1,1,0,0,45,45,59,59,0,0,7,7,0,0,7,7,10,10,0,0,10,10,0,0,10,10,25,25,0,0,10,10,0,0,45,45,59,59,0,0,7,7,0,0,7,7,10,10,0,0,10,10,0,0,10,10,25,25,0,0,10,10,0,0,0,0,0,0,25,25,1,1,10,10,0,0,0,0,8,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,2099855868e-05","-4,19e-05","1,99855868005e-07"
L35529,TestBed,com.thinkaurelius.titan.TestBed,L106,L103,titan-test\src\main\java\com\thinkaurelius\titan\TestBed.java,21,1,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,1,8,8,0,0,0,0,0,0,0,0,4,4,"0,333333","0,333333","0,132075","0,132075",7,7,4,4,1,1,2,2,"0,0879121","0,0879121",8,8,0,0,0,0,0,0,0,0,0,0,46,46,70,70,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,4,4,42,42,0,0,2,2,0,0,83,83,115,115,4,4,0,0,4,4,0,0,9,9,0,0,6,6,0,0,9,9,56,56,0,0,6,6,0,0,0,0,1,1,34,34,26,26,6,6,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,33,33,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,96658514861e-05",6e-05,"3,3414851391e-07"
L35555,TestByteBuffer,com.thinkaurelius.titan.TestByteBuffer,L106,L103,titan-test\src\main\java\com\thinkaurelius\titan\TestByteBuffer.java,19,1,236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,20,20,0,0,0,0,0,0,0,0,3,3,"0,5","0,5","0,038961","0,038961",3,3,3,3,1,1,1,1,"0,0215054","0,0215054",4,4,0,0,0,0,0,0,0,0,0,0,74,74,86,86,6,6,0,0,6,6,0,0,3,3,0,0,1,1,0,0,3,3,69,69,0,0,1,1,0,0,182,182,218,218,16,16,11,11,16,16,9,9,26,26,0,0,17,17,1,1,32,32,100,100,0,0,21,21,1,1,0,0,0,0,89,89,37,37,18,18,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,5,5,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-8,00903453713e-06","-7,17e-06","8,39034537126e-07"
L1970,Backend,com.thinkaurelius.titan.diskstorage.Backend,L144,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\Backend.java,61,1,689,2,"0,0676123","0,0650591",2,2,8,8,3,3,"0,0492846","0,0482115","0,0668203","0,0643016",31,31,29,29,2,2,3,3,3,3,67,67,45,43,8,8,16,16,43,40,70,68,"0,391304","0,391304","0,173448","0,17234",81,81,55,55,9,9,14,14,"0,1569","0,152015",83,83,1,1,1,1,0,0,0,0,1,1,386,389,560,560,43,44,20,21,43,44,20,21,27,28,15,16,22,22,0,0,27,28,194,192,15,16,22,22,0,0,446,463,629,643,43,44,20,21,43,44,20,21,35,36,15,16,30,30,0,0,35,36,215,213,15,16,30,30,0,0,0,0,7,8,117,126,2,2,21,14,0,0,0,0,10,6,0,0,18,18,0,0,3,3,0,0,0,0,0,0,2,3,0,0,18,17,79,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-0,00109911424221","-0,001079489","1,96252422127e-05"
L270,BackendException,com.thinkaurelius.titan.diskstorage.BackendException,L144,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\BackendException.java,10,1,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,160,157,4,4,0,0,3,3,1,1,"0,612903","0,612903",19,19,19,19,4,4,0,0,"0,612903","0,612903",19,19,0,0,0,0,2,2,5,4,0,0,12,12,30,30,1,1,0,0,1,1,0,0,3,3,0,0,3,3,0,0,3,3,3,3,0,0,3,3,0,0,12,12,30,30,1,1,0,0,1,1,0,0,3,3,0,0,3,3,0,0,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000128463775033","0,000127427","-1,03677503262e-06"
